cust_id,lookalikes
C0001,"[('C0065', 0.9999986147207881), ('C0194', 0.9999986016740753), ('C0104', 0.9999985110544011)]"
C0002,"[('C0030', 0.9999954623713694), ('C0109', 0.9999953063552264), ('C0008', 0.9999952356617821)]"
C0003,"[('C0181', 0.9999971198296798), ('C0008', 0.9999963335264908), ('C0134', 0.9999960056677729)]"
C0004,"[('C0175', 0.9999982314165351), ('C0065', 0.9999981676797265), ('C0093', 0.9999981593355427)]"
C0005,"[('C0096', 0.9999981246476936), ('C0055', 0.9999975789771467), ('C0064', 0.9999974502813475)]"
C0006,"[('C0040', 0.9999991728180859), ('C0196', 0.9999989241508102), ('C0013', 0.9999987510778378)]"
C0007,"[('C0079', 0.9999982540112695), ('C0118', 0.9999978409423976), ('C0104', 0.9999977370394212)]"
C0008,"[('C0165', 0.9999983622167101), ('C0084', 0.9999977871430458), ('C0169', 0.9999975609321026)]"
C0009,"[('C0140', 0.9999960205548885), ('C0198', 0.9999952401820957), ('C0085', 0.9999951490011353)]"
C0010,"[('C0091', 0.9999919411461613), ('C0034', 0.9999915837932779), ('C0109', 0.9999906679595932)]"
C0011,"[('C0135', 0.9999983954284615), ('C0145', 0.9999983792573136), ('C0173', 0.9999983757826375)]"
C0012,"[('C0101', 0.9999989359063376), ('C0163', 0.9999985495606826), ('C0065', 0.9999985198116881)]"
C0013,"[('C0040', 0.9999990844261741), ('C0099', 0.9999989601332925), ('C0141', 0.9999989247921686)]"
C0014,"[('C0128', 0.9999725187220193), ('C0058', 0.9999610735776877), ('C0009', 0.9999578073637386)]"
C0015,"[('C0036', 0.9999963775551676), ('C0073', 0.999994820385797), ('C0059', 0.9999947144395372)]"
C0016,"[('C0187', 0.9999993214285051), ('C0196', 0.9999989811840209), ('C0141', 0.9999986061549382)]"
C0017,"[('C0028', 0.9999979171422928), ('C0024', 0.9999978589005095), ('C0037', 0.9999977660823485)]"
C0018,"[('C0087', 0.9999982621277085), ('C0065', 0.9999982085744246), ('C0064', 0.9999980043887966)]"
C0019,"[('C0084', 0.9999973426016313), ('C0039', 0.9999970716351025), ('C0047', 0.9999967344488436)]"
C0020,"[('C0007', 0.999994056559836), ('C0026', 0.9999937965422531), ('C0117', 0.9999927639718805)]"
